filename,MFCC_1,MFCC_2,MFCC_3,MFCC_4,MFCC_5,MFCC_6,MFCC_7,MFCC_8,MFCC_9,MFCC_10,MFCC_11,MFCC_12,MFCC_13
Voice Notes/WhatsApp Audio 2025-04-07 at 10.22.43 PM (1).ogg,-429.36157,83.94757,4.2293057,-3.8315532,-2.9245791,-1.8860888,-21.270712,-4.3152337,-4.0864053,-7.7694354,-1.9528669,-2.0910294,-2.7295527
Voice Notes/WhatsApp Audio 2025-04-07 at 10.22.43 PM.ogg,-332.55307,96.02942,6.059668,-8.137781,-10.480891,6.215872,-30.591461,4.82284,-11.635676,-4.494691,1.8169811,-7.025769,-2.000568
Voice Notes/WhatsApp Audio 2025-04-07 at 10.22.44 PM (1).ogg,-392.35007,110.71635,8.1353035,-0.3186856,-5.8749213,-9.118896,-16.02324,-9.50417,-15.000492,-13.94791,-4.7092223,-4.139005,-7.2301784
Voice Notes/WhatsApp Audio 2025-04-07 at 10.22.44 PM (2).ogg,-429.36157,83.94757,4.2293057,-3.8315532,-2.9245791,-1.8860888,-21.270712,-4.3152337,-4.0864053,-7.7694354,-1.9528669,-2.0910294,-2.7295527
Voice Notes/WhatsApp Audio 2025-04-07 at 10.22.44 PM.ogg,-332.55307,96.02942,6.059668,-8.137781,-10.480891,6.215872,-30.591461,4.82284,-11.635676,-4.494691,1.8169811,-7.025769,-2.000568
Voice Notes/WhatsApp Audio 2025-04-07 at 10.22.45 PM (1).ogg,-246.83215,124.171295,-8.372777,24.895567,-12.840899,9.378903,-16.84502,-11.748835,-16.989157,-2.1340706,-9.260171,-5.4949646,-8.869661
Voice Notes/WhatsApp Audio 2025-04-07 at 10.22.45 PM.ogg,-298.36487,114.988266,-58.094093,8.606623,-12.825908,-32.494698,-31.266388,-18.34693,-3.376562,-6.8848696,-9.93284,0.8551706,-9.317163
Voice Notes/WhatsApp Audio 2025-04-07 at 10.22.46 PM (1).ogg,-372.43347,135.89186,-5.82559,4.5685973,-22.836245,-15.508607,-8.664512,-9.143301,-12.679855,-6.123662,-5.066303,-2.6663697,-6.1606607
Voice Notes/WhatsApp Audio 2025-04-07 at 10.22.46 PM (2).ogg,-447.3011,95.15562,8.44135,2.1565547,6.441777,3.0686774,2.13689,-6.3343763,-6.357481,2.3989356,1.3417706,-3.8626752,-5.041789
Voice Notes/WhatsApp Audio 2025-04-07 at 10.22.46 PM.ogg,-345.81308,102.729,9.608397,27.223055,-13.184562,8.208528,-13.086182,-18.542843,-5.0394387,-1.0110157,-15.352963,-0.39890718,-9.756171
Voice Notes/WhatsApp Audio 2025-04-07 at 10.22.47 PM.ogg,-394.79724,81.93129,31.004324,17.26321,13.079117,3.2560327,-24.769808,-8.882294,-5.618443,-15.744922,-0.16510029,-7.865292,-6.6210356
Voice Notes/WhatsApp Audio 2025-04-07 at 10.23.38 PM.ogg,-395.18405,130.21529,-31.00633,26.80138,-1.9967284,-11.866417,-2.1498885,-19.031063,-13.861991,-1.2201142,-10.46508,-3.1021457,-9.503645
Voice Notes/WhatsApp Ptt 2025-04-26 at 6.23.13 PM.ogg,-392.59354,169.94847,-4.633968,28.289814,7.8168445,-18.609056,-5.5360436,-11.968557,-5.1122174,4.7601037,-0.8543909,-3.1613498,-5.644955
Voice Notes/WhatsApp Ptt 2025-04-27 at 3.00.10 PM.ogg,-531.4597,168.93454,12.5705805,-3.8302736,12.842423,2.37759,-6.5852556,-3.6748717,-6.800794,1.0780149,0.12951708,-6.450878,-5.1212173
